uri,artist_name,artist_total_followers,artist_image,genres,popularity
spotify:artist:487N2T9nIPEHrlTZLL3SQs,Zé Neto & Cristiano,16138599,https://i.scdn.co/image/ab67616100005174cae88dfecbbf4e2189c2da77,"['arrocha', 'sertanejo', 'sertanejo universitario']",81
spotify:artist:1moxjboGR7GNWYIMWsRjgG,Florence + The Machine,5850732,https://i.scdn.co/image/ab67616100005174e3c37f869b830d1cf1ec829a,"['baroque pop', 'pop', 'uk alternative pop']",79
spotify:artist:6tbjWDEIzxoDsBA1FuhfPW,Madonna,5984467,https://i.scdn.co/image/ab67616100005174720c7a54c11c7c21762a65d1,"['dance pop', 'pop']",82
spotify:artist:4oUHIQIBe0LHzYfvXNW4QM,Morgan Wallen,3157332,https://i.scdn.co/image/ab676161000051740da5abcc5c0aef0c3cc573d0,['contemporary country'],86
spotify:artist:3IYUhFvPQItj6xySrBmZkd,Creedence Clearwater Revival,4962756,https://i.scdn.co/image/ab67616100005174d2e2b04b7ba5d60b72f54506,"['album rock', 'classic rock', 'country rock', 'rock', 'southern rock', 'swamp rock']",80
spotify:artist:4bw2Am3p9ji3mYsXNXtQcd,Piso 21,7982796,https://i.scdn.co/image/ab67616100005174f9d0bb4d6fa234f2616321ce,"['colombian pop', 'latin', 'latin pop', 'reggaeton', 'reggaeton colombiano', 'trap latino']",78
spotify:artist:4sTQVOfp9vEMCemLw50sbu,Galantis,3208389,https://i.scdn.co/image/ab676161000051742ca90cb37bf1557d385b9d48,"['dance pop', 'edm', 'electro house', 'pop', 'pop dance', 'tropical house']",80
spotify:artist:0SCbttzoZTnLFebDYmAWCm,Glee Cast,1455437,https://i.scdn.co/image/446aee35047292c4ba3e57e83ef97e6a9ffea669,"['glee club', 'hollywood', 'post-teen pop']",76
spotify:artist:3eqjTLE0HfPfh78zjh6TqT,Bruce Springsteen,4727860,https://i.scdn.co/image/ab67616100005174d0cb49906c4f8080a5813d95,"['classic rock', 'heartland rock', 'mellow gold', 'permanent wave', 'rock', 'singer-songwriter', 'soft rock']",79
spotify:artist:6XpaIBNiVzIetEPCWDvAFP,Whitney Houston,7825694,https://i.scdn.co/image/ab67616100005174cd9f60ab57585bf3b77ecc51,"['dance pop', 'pop', 'urban contemporary']",80
spotify:artist:6deZN1bslXzeGvOLaLMOIF,Nickelback,5655648,https://i.scdn.co/image/ab676161000051744200380f93aab2e4b85c8beb,"['alternative metal', 'canadian rock', 'nu metal', 'post-grunge']",79
spotify:artist:0NGAZxHanS9e0iNHpR8f2W,Alok,11301899,https://i.scdn.co/image/ab6761610000517483c76c9545193b431a44a8f6,"['electro house', 'pop nacional', 'slap house']",83
spotify:artist:5C4PDR4LnhZTbVnKWXuDKD,Morat,5471099,https://i.scdn.co/image/ab676161000051746847cff2c1f6d85b6455ef23,"['colombian pop', 'latin', 'latin pop']",85
spotify:artist:1pQWsZQehhS4wavwh7Fnxd,Lenny Tavárez,1730627,https://i.scdn.co/image/ab676161000051743da6d515e399ae789ef563f3,"['latin', 'reggaeton', 'reggaeton flow', 'trap argentino', 'trap latino']",88
spotify:artist:1gPhS1zisyXr5dHTYZyiMe,Kevin Gates,4950942,https://i.scdn.co/image/ab676161000051746899e286f75ca723f5d961d8,"['baton rouge rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",81
spotify:artist:0cGUm45nv7Z6M6qdXYQGTX,Kehlani,5691095,https://i.scdn.co/image/ab67616100005174d2657bcafcb300d90816523f,"['dance pop', 'pop', 'pop rap', 'r&b']",81
spotify:artist:6wWVKhxIU2cEi0K81v7HvP,Rammstein,7006387,https://i.scdn.co/image/ab6761610000517439a93f3d5cdbcdf4a2ce88e5,"['alternative metal', 'german metal', 'industrial', 'industrial metal', 'industrial rock', 'neue deutsche harte', 'nu metal']",81
spotify:artist:0p4nmQO2msCgU4IF37Wi3j,Avril Lavigne,8597386,https://i.scdn.co/image/ab67616100005174b0472fb072403737786ac79a,"['canadian pop', 'candy pop', 'dance pop', 'pop', 'post-teen pop']",82
spotify:artist:5BcAKTbp20cv7tC5VqPFoC,Macklemore & Ryan Lewis,2571582,https://i.scdn.co/image/ab676161000051743c2f1ba4c1a3de141e63d775,"['dance pop', 'pop', 'pop rap', 'seattle hip hop']",77
spotify:artist:7gOdHgIoIKoe4i9Tta6qdD,Jonas Brothers,6122492,https://i.scdn.co/image/ab67616100005174142120beb4014a7f8abd0cf0,"['boy band', 'dance pop', 'pop', 'post-teen pop']",80
spotify:artist:7FBcuc1gsnv6Y1nwFtNRCb,My Chemical Romance,6730573,https://i.scdn.co/image/ab676161000051749c00ad0308287b38b8fdabc2,"['emo', 'pop punk', 'rock']",80
spotify:artist:1Hsdzj7Dlq2I7tHP7501T4,Niall Horan,8373028,https://i.scdn.co/image/ab6761610000517480c7323d8b64397c278f86df,"['dance pop', 'pop', 'post-teen pop']",81
spotify:artist:4SsVbpTthjScTS7U2hmr1X,Arcangel,7943198,https://i.scdn.co/image/ab67616100005174094836334a3e352ba839fefc,"['latin', 'latin hip hop', 'reggaeton', 'trap latino']",87
spotify:artist:3oSJ7TBVCWMDMiYjXNiCKE,Kane Brown,4010394,https://i.scdn.co/image/ab676161000051740cd7da117d4a7b084ef3ac9b,"['black americana', 'contemporary country']",79
spotify:artist:2EMAnMvWE2eb56ToJVfCWs,Bryson Tiller,5582402,https://i.scdn.co/image/ab67616100005174078fdd734b7f0aa782328428,"['kentucky hip hop', 'pop', 'pop rap', 'r&b', 'rap']",82
spotify:artist:4WZGDpNwrC0vNQyl9QzF7d,Capital Bra,4245503,https://i.scdn.co/image/ab676161000051740732c998ff1a2a602b2eefe8,['german hip hop'],78
spotify:artist:3wyVrVrFCkukjdVIdirGVY,Lil Pump,7918974,https://i.scdn.co/image/ab6761610000517429b1dafdb2fa90cd8da410b6,"['emo rap', 'miami hip hop', 'rap', 'trap', 'vapor trap']",72
spotify:artist:3BmGtnKgCSGYIUhmivXKWX,Kelly Clarkson,8632527,https://i.scdn.co/image/ab67616100005174118cd1f3261f08d957105996,"['dance pop', 'neo mellow', 'pop', 'post-teen pop', 'talent show', 'urban contemporary']",77
spotify:artist:3E6xrwgnVfYCrCs0ePERDz,Wisin,7661616,https://i.scdn.co/image/ab676161000051743553659bf06fbaa0a6c313d1,"['latin', 'latin hip hop', 'reggaeton', 'trap latino']",83
spotify:artist:1Ffb6ejR6Fe5IamqA5oRUF,Bring Me The Horizon,4350707,https://i.scdn.co/image/ab6761610000517407603145b500ea5408074053,"['melodic metalcore', 'metalcore', 'rock', 'uk metalcore']",83
spotify:artist:10exVja0key0uqUkk6LJRT,Vance Joy,2582892,https://i.scdn.co/image/ab6761610000517476921c938ca0f4990554e867,"['folk-pop', 'modern rock', 'pop', 'pop rock']",79
spotify:artist:4myTppRgh0rojLxx8RycOp,Ryan Lewis,13119,https://i.scdn.co/image/ab676161000051746396e61aab044c5d655f115c,[],77
spotify:artist:6sq1yF0OZEWA4xoXVKW1L9,Alejandro Fernández,5357411,https://i.scdn.co/image/ab67616100005174452691cfa37fdd5b3417ed0d,"['latin', 'latin arena pop', 'latin pop', 'mariachi', 'mexican pop', 'musica mexicana', 'ranchera']",81
spotify:artist:6kACVPfCOnqzgfEF5ryl0x,Johnny Cash,5244446,https://i.scdn.co/image/ab67616100005174152cf48cf9541c7061570857,"['arkansas country', 'outlaw country']",78
